Date,HomeOdds,OverUnder,AwayTeam,HomeTeam
21-04-2019,-119,9.5,Seattle Mariners,Los Angeles Angels
21-04-2019,-110,8,Atlanta Braves,Cleveland Indians
22-04-2019,-133,7.5,Arizona Diamondbacks,Pittsburgh Pirates
22-04-2019,-108,9,Philadelphia Phillies,New York Mets
22-04-2019,-145,8.5,Milwaukee Brewers,St. Louis Cardinals
22-04-2019,-122,11,Washington Nationals,Colorado Rockies
22-04-2019,110,9.5,Chicago White Sox,Baltimore Orioles
22-04-2019,-170,7.5,Kansas City Royals,Tampa Bay Rays
22-04-2019,-168,9.5,Minnesota Twins,Houston Astros
22-04-2019,-115,8.5,New York Yankees,Los Angeles Angels
22-04-2019,-140,8.5,Texas Rangers,Oakland Athletics
23-04-2019,112,9.5,Atlanta Braves,Cincinnati Reds
23-04-2019,-106,8,Arizona Diamondbacks,Pittsburgh Pirates
23-04-2019,-123,8.5,Philadelphia Phillies,New York Mets
23-04-2019,-117,9,Milwaukee Brewers,St. Louis Cardinals
23-04-2019,-110,8,Los Angeles Dodgers,Chicago Cubs
23-04-2019,144,11,Washington Nationals,Colorado Rockies
23-04-2019,126,9.5,Chicago White Sox,Baltimore Orioles
23-04-2019,-185,8,Kansas City Royals,Tampa Bay Rays
23-04-2019,-180,9,Detroit Tigers,Boston Red Sox
23-04-2019,-150,9.5,Minnesota Twins,Houston Astros
23-04-2019,-105,8.5,New York Yankees,Los Angeles Angels
23-04-2019,-140,8,Texas Rangers,Oakland Athletics
23-04-2019,-106,8.5,San Francisco Giants,Toronto Blue Jays
23-04-2019,-230,7.5,Miami Marlins,Cleveland Indians
23-04-2019,-132,8,Seattle Mariners,San Diego Padres
23-04-2019,-220,8,Detroit Tigers,Boston Red Sox
24-04-2019,-125,8.5,Milwaukee Brewers,St. Louis Cardinals
24-04-2019,-160,10.5,Washington Nationals,Colorado Rockies
24-04-2019,103,9.5,Atlanta Braves,Cincinnati Reds
24-04-2019,-110,8,Arizona Diamondbacks,Pittsburgh Pirates
24-04-2019,116,9,Philadelphia Phillies,New York Mets
24-04-2019,106,8,Los Angeles Dodgers,Chicago Cubs
24-04-2019,-240,7,Kansas City Royals,Tampa Bay Rays
24-04-2019,-160,9.5,Texas Rangers,Oakland Athletics
24-04-2019,-125,9.5,Chicago White Sox,Baltimore Orioles
24-04-2019,-215,9.5,Detroit Tigers,Boston Red Sox
24-04-2019,-240,9,Minnesota Twins,Houston Astros
24-04-2019,104,8.5,New York Yankees,Los Angeles Angels
24-04-2019,-157,9,Miami Marlins,Cleveland Indians
24-04-2019,-158,8.5,Seattle Mariners,San Diego Padres
24-04-2019,112,8.5,San Francisco Giants,Toronto Blue Jays
25-04-2019,-105,7,Arizona Diamondbacks,Pittsburgh Pirates
25-04-2019,106,8.5,Los Angeles Dodgers,Chicago Cubs
25-04-2019,-138,9,Atlanta Braves,Cincinnati Reds
25-04-2019,-190,7.5,Miami Marlins,Philadelphia Phillies
25-04-2019,-230,9.5,Detroit Tigers,Boston Red Sox
25-04-2019,-145,7.5,Cleveland Indians,Houston Astros
25-04-2019,102,8,New York Yankees,Los Angeles Angels
25-04-2019,-143,8.5,Texas Rangers,Seattle Mariners
26-04-2019,-170,8.5,Miami Marlins,Philadelphia Phillies
26-04-2019,-210,7,San Diego Padres,Washington Nationals
26-04-2019,-174,7,Milwaukee Brewers,New York Mets
26-04-2019,-160,8.5,Colorado Rockies,Atlanta Braves
26-04-2019,-145,8,Cincinnati Reds,St. Louis Cardinals
26-04-2019,-108,9,Chicago Cubs,Arizona Diamondbacks
26-04-2019,-180,7.5,Pittsburgh Pirates,Los Angeles Dodgers
26-04-2019,-124,9,Oakland Athletics,Toronto Blue Jays
26-04-2019,-185,9.5,Baltimore Orioles,Minnesota Twins
26-04-2019,-127,8.5,Detroit Tigers,Chicago White Sox
26-04-2019,-123,8.5,Cleveland Indians,Houston Astros
26-04-2019,-105,9,Los Angeles Angels,Kansas City Royals
26-04-2019,-140,9.5,Texas Rangers,Seattle Mariners
26-04-2019,100,6,New York Yankees,San Francisco Giants
27-04-2019,-123,9,Cincinnati Reds,St. Louis Cardinals
27-04-2019,-162,8.5,San Diego Padres,Washington Nationals
27-04-2019,-200,8,Miami Marlins,Philadelphia Phillies
27-04-2019,-132,7,Milwaukee Brewers,New York Mets
27-04-2019,-112,8.5,Colorado Rockies,Atlanta Braves
27-04-2019,-114,10.5,Chicago Cubs,Arizona Diamondbacks
27-04-2019,-210,7.5,Pittsburgh Pirates,Los Angeles Dodgers
27-04-2019,-255,9,Baltimore Orioles,Minnesota Twins
27-04-2019,-105,9,Oakland Athletics,Toronto Blue Jays
27-04-2019,-150,9,Cleveland Indians,Houston Astros
27-04-2019,-130,9,Tampa Bay Rays,Boston Red Sox
27-04-2019,106,9,Los Angeles Angels,Kansas City Royals
27-04-2019,-103,8.5,Texas Rangers,Seattle Mariners
27-04-2019,-106,7.5,New York Yankees,San Francisco Giants
28-04-2019,-170,7.5,Miami Marlins,Philadelphia Phillies
28-04-2019,-122,8,Milwaukee Brewers,New York Mets
28-04-2019,-165,9,Colorado Rockies,Atlanta Braves
28-04-2019,111,8.5,San Diego Padres,Washington Nationals
28-04-2019,-140,7.5,Cincinnati Reds,St. Louis Cardinals
28-04-2019,100,8.5,Chicago Cubs,Arizona Diamondbacks
28-04-2019,-185,8,Pittsburgh Pirates,Los Angeles Dodgers
28-04-2019,-130,8,Tampa Bay Rays,Boston Red Sox
28-04-2019,115,9.5,Oakland Athletics,Toronto Blue Jays
28-04-2019,110,8,Detroit Tigers,Chicago White Sox
28-04-2019,-210,9,Baltimore Orioles,Minnesota Twins
28-04-2019,100,9.5,Los Angeles Angels,Kansas City Royals
28-04-2019,-127,8.5,Texas Rangers,Seattle Mariners
28-04-2019,-108,8.5,Cleveland Indians,Houston Astros
28-04-2019,115,7.5,New York Yankees,San Francisco Giants
29-04-2019,-134,8.5,St. Louis Cardinals,Washington Nationals
29-04-2019,-152,7.5,Cincinnati Reds,New York Mets
29-04-2019,-160,9,San Diego Padres,Atlanta Braves
29-04-2019,-105,8.5,Colorado Rockies,Milwaukee Brewers
29-04-2019,140,8,Los Angeles Dodgers,San Francisco Giants
29-04-2019,-134,9,Oakland Athletics,Boston Red Sox
29-04-2019,155,8,Houston Astros,Minnesota Twins
29-04-2019,-128,8.5,Baltimore Orioles,Chicago White Sox
29-04-2019,138,8.5,Tampa Bay Rays,Kansas City Royals
30-04-2019,108,9.5,St. Louis Cardinals,Washington Nationals
30-04-2019,-104,7.5,Cincinnati Reds,New York Mets
30-04-2019,-110,8.5,San Diego Padres,Atlanta Braves
30-04-2019,-103,8,Colorado Rockies,Milwaukee Brewers
30-04-2019,135,7,Los Angeles Dodgers,San Francisco Giants
30-04-2019,-160,9.5,Oakland Athletics,Boston Red Sox
30-04-2019,150,7.5,Houston Astros,Minnesota Twins
30-04-2019,-148,9,Toronto Blue Jays,Los Angeles Angels
30-04-2019,-190,8.5,Detroit Tigers,Philadelphia Phillies
30-04-2019,180,7,Cleveland Indians,Miami Marlins
30-04-2019,-110,11,Pittsburgh Pirates,Texas Rangers
30-04-2019,-145,8.5,New York Yankees,Arizona Diamondbacks
30-04-2019,119,9,Chicago Cubs,Seattle Mariners
01-05-2019,-140,7.5,St. Louis Cardinals,Washington Nationals
01-05-2019,-185,7,Cincinnati Reds,New York Mets
