ParkYear,Park,Park_RunsFactor,Park_HRFactor,Park_HFactor,Park_2BFactor,Park_3BFactor,Park_BBFactor
2011,Miami Marlins,0.991,0.941,0.988,0.976,1.24,1.145
2011,Cleveland Indians,0.96,1.06,0.986,0.984,0.629,0.969
2011,Pittsburgh Pirates,0.959,0.799,0.994,1.007,0.727,0.882
2011,Washington Nationals,0.955,1.11,1.027,1.001,0.675,0.747
2011,Atlanta Braves,0.953,0.948,1.01,0.983,0.633,1.062
2011,Minnesota Twins,0.944,0.913,1.01,0.93,0.943,0.957
2011,Los Angeles Dodgers,0.936,0.919,0.947,0.957,0.613,1.034
2011,Chicago Cubs,0.934,0.987,0.977,0.858,1.321,1.047
2011,New York Mets,0.908,0.735,0.962,0.965,1.206,1.039
2011,St. Louis Cardinals,0.896,0.774,0.882,0.811,0.629,1.012
2011,Seattle Mariners,0.855,1.037,0.89,0.768,0.653,1.049
2011,Los Angeles Angels,0.836,0.789,0.941,0.858,0.636,0.962
2011,San Diego Padres,0.819,0.862,0.883,0.904,1.387,1.012
2011,Tampa Bay Rays,0.817,0.903,0.922,0.851,0.718,0.962
2011,San Francisco Giants,0.737,0.596,0.944,1,1.038,0.904
2011,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2010,Colorado Rockies,1.364,1.496,1.222,1.282,1.677,0.917
2010,New York Yankees,1.177,1.42,1.037,1.059,0.704,0.954
2010,Chicago Cubs,1.17,1.134,1.115,1.078,1.269,1.019
2010,Chicago White Sox,1.135,1.545,1.004,1.124,0.783,1.17
2010,Baltimore Orioles,1.112,1.262,1.076,1.007,0.71,1.009
2010,Texas Rangers,1.091,1.16,1.066,1.065,0.769,0.989
2010,Boston Red Sox,1.083,0.871,1.031,1.22,0.567,1.019
2010,Toronto Blue Jays,1.058,1.358,1.026,0.927,1.077,0.949
2010,Arizona Diamondbacks,1.049,1.063,1.049,1.053,2.3,0.937
2010,Miami Marlins,1.043,0.822,0.985,1.095,0.895,1.178
2010,Pittsburgh Pirates,1.026,0.798,0.986,1.12,1.296,0.986
2010,Atlanta Braves,1.007,1.023,0.998,0.933,0.9,0.918
2010,Cincinnati Reds,1.007,1.136,1.023,0.935,1,1.015
2010,Kansas City Royals,1.007,0.916,1.043,1.027,2.6,0.896
2010,Milwaukee Brewers,1.005,1.233,0.993,0.994,0.6,1.032
2010,Philadelphia Phillies,0.991,1.125,0.98,0.985,0.867,0.948
2010,Detroit Tigers,0.981,0.922,1.029,0.968,1.027,0.927
2010,Washington Nationals,0.965,1,1.032,1.067,0.784,0.956
2010,Minnesota Twins,0.962,0.641,0.996,1.097,1.171,1.061
2010,Cleveland Indians,0.947,0.95,0.966,1.087,1.13,0.98
2010,San Francisco Giants,0.942,0.885,0.969,0.978,0.842,0.991
2010,Los Angeles Dodgers,0.939,1.016,0.985,0.954,0.327,1.019
2010,St. Louis Cardinals,0.937,0.758,0.955,0.933,1,1.078
2010,New York Mets,0.89,0.719,0.934,0.87,1.31,1.098
2010,San Diego Padres,0.882,0.856,0.896,0.81,1.3,1.127
2010,Los Angeles Angels,0.864,0.825,0.946,0.824,0.471,0.971
2010,Houston Astros,0.864,1.084,0.923,0.946,1.296,0.994
2010,Seattle Mariners,0.813,0.675,0.931,0.919,0.652,1.024
2010,Tampa Bay Rays,0.8,0.936,0.906,0.833,1.367,0.962
2010,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
