Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Raisel Iglesias (17266609),Raisel Iglesias,17266609,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,2.98
RP,Hector Yan (17266611),Hector Yan,17266611,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
RP,Luke Bard (17266612),Luke Bard,17266612,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
RP,John King (17266617),John King,17266617,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,4.15
RP,Jose Quijada (17266619),Jose Quijada,17266619,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
RP,Joe Palumbo (17266621),Joe Palumbo,17266621,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Brett de Geus (17266623),Brett de Geus,17266623,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,1.54
SP,Jake Faria (17266624),Jake Faria,17266624,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
RP,Joe Gatto (17266626),Joe Gatto,17266626,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Brett Martin (17266627),Brett Martin,17266627,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,1.87
SP,Tyler Phillips (17266628),Tyler Phillips,17266628,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
SP,Sam Gaviglio (17266630),Sam Gaviglio,17266630,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
SP,Jason Bahr (17266631),Jason Bahr,17266631,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Matt Bush (17266634),Matt Bush,17266634,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,1.92
RP,Mike Mayers (17266635),Mike Mayers,17266635,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,3.82
SP,A.J. Alexy (17266636),A.J. Alexy,17266636,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Spencer Patton (17266638),Spencer Patton,17266638,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Yerry Rodriguez (17266639),Yerry Rodriguez,17266639,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
2B/OF,Dylan Moore (17266333),Dylan Moore,17266333,OF/INF/UTIL,4900,SEA@HOU 04/26/2021 08:10PM ET,SEA,5
OF,Taylor Trammell (17266338),Taylor Trammell,17266338,OF/UTIL,4800,SEA@HOU 04/26/2021 08:10PM ET,SEA,6.41
3B,Charlie Culberson (17266336),Charlie Culberson,17266336,INF/UTIL,4800,LAA@TEX 04/26/2021 08:05PM ET,TEX,5.46
OF,Kyle Lewis (17266342),Kyle Lewis,17266342,OF/UTIL,4700,SEA@HOU 04/26/2021 08:10PM ET,SEA,2.5
C,Jose Trevino (17266340),Jose Trevino,17266340,INF/UTIL,4700,LAA@TEX 04/26/2021 08:05PM ET,TEX,4.33
3B,Brock Holt (17266344),Brock Holt,17266344,INF/UTIL,4600,LAA@TEX 04/26/2021 08:05PM ET,TEX,4.73
3B/SS,Anderson Tejeda (17266397),Anderson Tejeda,17266397,INF/UTIL,4600,LAA@TEX 04/26/2021 08:05PM ET,TEX,2.4
C,Kurt Suzuki (17266346),Kurt Suzuki,17266346,INF/UTIL,4500,LAA@TEX 04/26/2021 08:05PM ET,LAA,4.73
OF,David Dahl (17266348),David Dahl,17266348,OF/UTIL,4500,LAA@TEX 04/26/2021 08:05PM ET,TEX,5.32
3B,Abraham Toro (17266352),Abraham Toro,17266352,INF/UTIL,4400,SEA@HOU 04/26/2021 08:10PM ET,HOU,0.83
2B,David Fletcher (17266350),David Fletcher,17266350,INF/UTIL,4400,LAA@TEX 04/26/2021 08:05PM ET,LAA,5.85
1B/OF,Jose Marmolejos (17266354),Jose Marmolejos,17266354,OF/INF/UTIL,4300,SEA@HOU 04/26/2021 08:10PM ET,SEA,5.87
C,Martin Maldonado (17266357),Martin Maldonado,17266357,INF/UTIL,4300,SEA@HOU 04/26/2021 08:10PM ET,HOU,2.21
1B,Evan White (17266359),Evan White,17266359,INF/UTIL,4200,SEA@HOU 04/26/2021 08:10PM ET,SEA,4.22
SS,Jose Iglesias (17266361),Jose Iglesias,17266361,INF/UTIL,4200,LAA@TEX 04/26/2021 08:05PM ET,LAA,5.3
C,Max Stassi (17266399),Max Stassi,17266399,INF/UTIL,4200,LAA@TEX 04/26/2021 08:05PM ET,LAA,5.57
C,Luis Torrens (17266363),Luis Torrens,17266363,INF/UTIL,4100,SEA@HOU 04/26/2021 08:10PM ET,SEA,2.76
2B,Alex De Goti (17266401),Alex De Goti,17266401,INF/UTIL,4100,SEA@HOU 04/26/2021 08:10PM ET,HOU,7
1B/OF,Ronald Guzman (17266403),Ronald Guzman,17266403,OF/INF/UTIL,4100,LAA@TEX 04/26/2021 08:05PM ET,TEX,2.29
OF,Sam Haggerty (17266365),Sam Haggerty,17266365,OF/UTIL,4000,SEA@HOU 04/26/2021 08:10PM ET,SEA,6.5
SS,J.P. Crawford (17266369),J.P. Crawford,17266369,INF/UTIL,4000,SEA@HOU 04/26/2021 08:10PM ET,SEA,4.76
OF,Willie Calhoun (17266367),Willie Calhoun,17266367,OF/UTIL,4000,LAA@TEX 04/26/2021 08:05PM ET,TEX,7.29
OF,Myles Straw (17266371),Myles Straw,17266371,OF/UTIL,3900,SEA@HOU 04/26/2021 08:10PM ET,HOU,5.65
3B,Jose Rojas (17266373),Jose Rojas,17266373,INF/UTIL,3900,LAA@TEX 04/26/2021 08:05PM ET,LAA,3.15
OF,Scott Schebler (17266375),Scott Schebler,17266375,OF/UTIL,3900,LAA@TEX 04/26/2021 08:05PM ET,LAA,3.14
C,Tom Murphy (17266377),Tom Murphy,17266377,INF/UTIL,3800,SEA@HOU 04/26/2021 08:10PM ET,SEA,2.33
1B/3B,Taylor Jones (17266406),Taylor Jones,17266406,INF/UTIL,3800,SEA@HOU 04/26/2021 08:10PM ET,HOU,7
