Player,OBP_zips,SLG_zips,ISO_zips,BABIP_zips
Sergio Alcantara,0.288,0.298,0.063,0.286
Efren Navarro,0.302,0.328,0.091,0.289
Victor Reyes,0.286,0.342,0.092,0.3
Kenny Wilson,0.277,0.303,0.088,0.287
Jim Adduci,0.268,0.34,0.123,0.295
Logan Watkins,0.283,0.295,0.075,0.28
Niko Goodrum,0.271,0.351,0.131,0.29
Omar Infante,0.258,0.305,0.075,0.255
Dominic Ficociello,0.278,0.323,0.102,0.299
Gabriel Quintana,0.247,0.384,0.167,0.291
Jose Azocar,0.225,0.259,0.056,0.288
Lorenzo Cain,0.335,0.409,0.128,0.324
Salvador Perez,0.29,0.451,0.193,0.276
Mike Moustakas,0.317,0.485,0.218,0.268
Whit Merrifield,0.317,0.421,0.14,0.315
Eric Hosmer,0.349,0.453,0.17,0.316
Alex Gordon,0.324,0.376,0.14,0.295
Raul Mondesi Jr.,0.28,0.407,0.165,0.308
Nicky Lopez,0.306,0.334,0.084,0.275
Melky Cabrera,0.327,0.421,0.133,0.305
Cheslor Cuthbert,0.296,0.389,0.143,0.287
Cam Gallagher,0.274,0.312,0.089,0.247
Dean Anna,0.315,0.32,0.076,0.283
Alcides Escobar,0.288,0.356,0.096,0.299
Jorge Soler,0.32,0.419,0.19,0.296
Erick Mejia,0.289,0.337,0.101,0.307
Ramon Torres,0.291,0.338,0.08,0.291
Brandon Moss,0.297,0.43,0.21,0.276
Jorge Bonifacio,0.293,0.39,0.157,0.297
Meibrys Viloria,0.263,0.332,0.115,0.274
Paulo Orlando,0.283,0.351,0.102,0.306
Drew Butera,0.282,0.341,0.116,0.283
Cody Asche,0.308,0.395,0.156,0.301
Donnie Dewees,0.276,0.337,0.111,0.272
Allan de San Miguel,0.266,0.298,0.092,0.266
Mauricio Ramos,0.266,0.348,0.118,0.288
Brayan Pena,0.298,0.314,0.057,0.279
Corey Toups,0.284,0.339,0.121,0.303
Garin Cecchini,0.278,0.339,0.106,0.286
Zach Walters,0.267,0.401,0.175,0.276
Hunter Dozier,0.272,0.353,0.147,0.292
Billy Burns,0.295,0.299,0.058,0.292
Frank Schwindel,0.275,0.415,0.16,0.287
Ruben Sosa,0.294,0.339,0.113,0.299
Ryan O'Hearn,0.287,0.401,0.176,0.298
Bubba Starling,0.253,0.324,0.123,0.282
Anderson Miller,0.267,0.324,0.107,0.296
Parker Morin,0.23,0.267,0.079,0.258
Samir Duenez,0.282,0.386,0.142,0.29
Jack Lopez,0.252,0.297,0.084,0.277
Terrance Gore,0.262,0.231,0.024,0.283
Chase Vallot,0.277,0.336,0.167,0.29
Logan Moon,0.244,0.287,0.082,0.302
Brian Dozier,0.341,0.482,0.225,0.283
Byron Buxton,0.305,0.426,0.18,0.324
Miguel Sano,0.337,0.494,0.249,0.336
Eddie Rosario,0.304,0.456,0.187,0.306
Jason Castro,0.31,0.373,0.146,0.302
Max Kepler,0.319,0.43,0.178,0.291
Jorge Polanco,0.316,0.404,0.139,0.295
Joe Mauer,0.368,0.394,0.108,0.334
Eduardo Escobar,0.311,0.431,0.171,0.296
Mitch Garver,0.307,0.369,0.138,0.297
Kennys Vargas,0.32,0.453,0.214,0.293
LaMonte Wade,0.338,0.374,0.117,0.295
Nick Gordon,0.295,0.356,0.109,0.327
Willians Astudillo,0.304,0.386,0.107,0.277
Robbie Grossman,0.36,0.408,0.149,0.309
Ehire Adrianza,0.312,0.373,0.124,0.283
Byung Ho Park,0.3,0.435,0.197,0.305
Zack Granite,0.309,0.336,0.079,0.293
Brock Stassi,0.319,0.384,0.142,0.283
T.J. White,0.291,0.359,0.13,0.287
Tommy Field,0.278,0.345,0.129,0.26
Taylor Featherston,0.272,0.349,0.135,0.294
Chris Gimenez,0.3,0.34,0.126,0.278
Bobby Wilson,0.27,0.333,0.114,0.268
Gregorio Petit,0.268,0.343,0.107,0.284
Carlos Paulino,0.284,0.298,0.068,0.293
Ryan LaMarre,0.279,0.329,0.112,0.299
Andy Wilkins,0.288,0.432,0.206,0.272
Leonardo Reginatto,0.291,0.309,0.066,0.292
Jonathan Rodriguez,0.307,0.376,0.144,0.308
Anthony Recker,0.276,0.358,0.156,0.274
Ben Paulsen,0.279,0.39,0.165,0.285
Levi Michael,0.279,0.301,0.089,0.298
Brent Rooker,0.288,0.396,0.17,0.304
Ryan Strausborger,0.266,0.311,0.1,0.28
Jermaine Palacios,0.268,0.356,0.119,0.286
Edgar Corcino,0.288,0.344,0.102,0.296
J.B. Shuck,0.287,0.331,0.091,0.257
Carlos Correa,0.378,0.522,0.224,0.332
Jose Altuve,0.375,0.497,0.178,0.331
George Springer,0.36,0.492,0.225,0.306
Alex Bregman,0.339,0.461,0.189,0.296
Brian McCann,0.325,0.433,0.185,0.261
Josh Reddick,0.333,0.445,0.166,0.3
Marwin Gonzalez,0.323,0.441,0.176,0.305
Derek Fisher,0.322,0.438,0.195,0.316
Evan Gattis,0.308,0.479,0.224,0.274
Yuli Gurriel,0.331,0.477,0.2,0.294
Kyle Tucker,0.31,0.455,0.202,0.305
J.D. Davis,0.294,0.426,0.191,0.312
Tony Kemp,0.326,0.369,0.098,0.3
Tyler White,0.314,0.41,0.167,0.288
A.J. Reed,0.316,0.433,0.2,0.3
Cameron Maybin,0.323,0.374,0.126,0.302
Garrett Stubbs,0.304,0.312,0.084,0.275
Max Stassi,0.297,0.389,0.171,0.284
Jake Marisnick,0.285,0.402,0.172,0.301
Myles Straw,0.325,0.307,0.057,0.315
Tim Federowicz,0.288,0.378,0.142,0.289
Jamie Ritchie,0.321,0.304,0.08,0.294
Jon Kemmer,0.305,0.428,0.194,0.316
Jack Mayfield,0.279,0.393,0.156,0.286
Reid Brignac,0.28,0.336,0.126,0.285
