Player,ISO_zips,BABIP_zips,OBP_zips,SLG_zips
Richie Shaffer,0.189,0.29,0.297,0.411
Freddy Galvis,0.142,0.285,0.281,0.388
Rhys Hoskins,0.18,0.315,0.315,0.424
Cameron Rupp,0.159,0.299,0.287,0.389
Aaron Altherr,0.162,0.3,0.298,0.389
Dylan Cozens,0.182,0.349,0.289,0.42
Andrew Knapp,0.137,0.31,0.287,0.362
Howie Kendrick,0.11,0.311,0.324,0.377
Brock Stassi,0.144,0.285,0.321,0.393
Nick Williams,0.178,0.301,0.277,0.424
Andrew Pullin,0.152,0.308,0.297,0.415
Jesmuel Valentin,0.112,0.291,0.291,0.355
Tommy Joseph,0.223,0.278,0.303,0.486
Cedric Hunter,0.172,0.267,0.29,0.42
Taylor Featherston,0.143,0.293,0.272,0.367
Roman Quinn,0.11,0.325,0.297,0.346
Jorge Alfaro,0.147,0.31,0.267,0.372
Scott Kingery,0.095,0.304,0.291,0.343
Bryan Holaday,0.126,0.283,0.279,0.363
Carlos Tocci,0.088,0.305,0.289,0.337
Peter Bourjos,0.141,0.307,0.292,0.378
Osmel Aguila,0.139,0.29,0.282,0.349
Christian Marrero,0.152,0.276,0.32,0.388
Logan Moore,0.113,0.28,0.253,0.316
Malquin Canelo,0.094,0.29,0.265,0.32
Andres Blanco,0.129,0.292,0.308,0.378
Cam Perkins,0.119,0.285,0.284,0.364
Harold Martinez,0.113,0.303,0.259,0.338
Hector A. Gomez,0.151,0.279,0.256,0.373
Chace Numata,0.063,0.267,0.28,0.291
Daniel Nava,0.101,0.293,0.326,0.345
Pedro Florimon,0.118,0.276,0.26,0.314
Jake Fox,0.185,0.284,0.283,0.414
Ryan Howard,0.23,0.251,0.265,0.446
Jimmy Paredes,0.138,0.312,0.275,0.376
Tyler Goeddel,0.12,0.284,0.283,0.343
Kris Bryant,0.238,0.342,0.372,0.512
Anthony Rizzo,0.249,0.297,0.382,0.529
Addison Russell,0.176,0.298,0.32,0.424
Willson Contreras,0.164,0.313,0.334,0.428
Jason Heyward,0.133,0.293,0.335,0.39
Ben Zobrist,0.163,0.286,0.357,0.43
Dexter Fowler,0.16,0.322,0.362,0.418
Javier Baez,0.174,0.323,0.303,0.428
Jeimer Candelario,0.164,0.312,0.325,0.424
Kyle Schwarber,0.261,0.296,0.337,0.504
Albert Almora,0.124,0.299,0.296,0.393
Victor Caratini,0.116,0.309,0.317,0.364
Miguel Montero,0.126,0.272,0.323,0.354
Chesny Young,0.077,0.312,0.323,0.343
Chris Coghlan,0.152,0.283,0.322,0.386
Christian Villanueva,0.153,0.285,0.285,0.39
David Ross,0.169,0.256,0.295,0.365
Tommy La Stella,0.109,0.295,0.336,0.371
Lane Adams,0.132,0.296,0.285,0.357
Matt Szczur,0.107,0.298,0.3,0.357
Jorge Soler,0.187,0.308,0.323,0.43
Charcer Burks,0.121,0.295,0.291,0.34
Taylor Davis,0.13,0.262,0.293,0.365
John Andreoli,0.114,0.314,0.314,0.341
Ian Happ,0.16,0.31,0.298,0.392
Mark Zagunis,0.149,0.306,0.336,0.391
Donnie Dewees,0.11,0.293,0.283,0.352
David Bote,0.126,0.297,0.299,0.361
Munenori Kawasaki,0.042,0.287,0.301,0.272
Ryan Kalish,0.11,0.294,0.3,0.346
Jacob Hannemann,0.126,0.288,0.268,0.343
Logan Watkins,0.099,0.29,0.288,0.328
Juan Perez,0.121,0.286,0.276,0.355
Ben Carhart,0.113,0.28,0.287,0.357
Matt Murton,0.103,0.295,0.298,0.367
Yasiel Balaguert,0.135,0.289,0.26,0.359
Jonathan Villar,0.154,0.338,0.332,0.41
Lewis Brinson,0.204,0.299,0.294,0.458
Travis Shaw,0.187,0.287,0.308,0.433
Ryan Braun,0.195,0.313,0.343,0.477
Orlando Arcia,0.134,0.291,0.289,0.379
Keon Broxton,0.192,0.325,0.297,0.408
Eric Thames,0.246,0.297,0.321,0.493
Scooter Gennett,0.147,0.314,0.311,0.417
Brett Phillips,0.179,0.311,0.297,0.407
Domingo Santana,0.198,0.335,0.333,0.441
Mauricio Dubon,0.109,0.295,0.303,0.366
Hernan Perez,0.134,0.308,0.293,0.4
Ryan Cordell,0.16,0.299,0.283,0.399
Jett Bandy,0.153,0.26,0.278,0.378
Chris Carter,0.273,0.26,0.311,0.484
Andrew Susac,0.152,0.306,0.306,0.385
Kirk Nieuwenhuis,0.194,0.289,0.305,0.412
Jacob Nottingham,0.144,0.318,0.285,0.38
Tyrone Taylor,0.108,0.285,0.296,0.357
Manny Pina,0.13,0.271,0.291,0.371
Ivan De Jesus,0.103,0.322,0.311,0.358
Adam Weisenburger,0.086,0.291,0.304,0.307
Andy Wilkins,0.209,0.273,0.289,0.441
Cody Decker,0.231,0.288,0.275,0.454
Jake Elmore,0.052,0.282,0.327,0.293
Rene Garcia,0.052,0.291,0.278,0.306
Eric Sogard,0.066,0.281,0.299,0.313
Michael Reed,0.121,0.299,0.308,0.332
Clint Coulter,0.158,0.284,0.291,0.395
Yadiel Rivera,0.087,0.286,0.25,0.302
Garrett Cooper,0.137,0.311,0.296,0.383
Victor Roache,0.184,0.307,0.264,0.389
Kyle Wren,0.067,0.301,0.304,0.311
Yadier Molina,0.107,0.307,0.327,0.389
Stephen Piscotty,0.17,0.313,0.338,0.443
Matt Carpenter,0.189,0.308,0.366,0.452
Aledmys Diaz,0.171,0.298,0.325,0.439
Jedd Gyorko,0.195,0.273,0.306,0.441
Kolten Wong,0.14,0.286,0.322,0.396
Randal Grichuk,0.223,0.304,0.296,0.472
Jhonny Peralta,0.156,0.289,0.317,0.413
Greg Garcia,0.081,0.306,0.333,0.322
Wilfredo Tovar,0.071,0.286,0.298,0.325
Tommy Pham,0.174,0.314,0.32,0.418
Harrison Bader,0.165,0.305,0.299,0.409
Carson Kelly,0.109,0.289,0.286,0.351
Matt Adams,0.183,0.303,0.306,0.441
Eliezer Alvarez,0.122,0.323,0.319,0.382
Chad Huffman,0.184,0.289,0.324,0.431
Luke Voit,0.138,0.31,0.325,0.393
Paul DeJong,0.153,0.316,0.299,0.395
Jacob Wilson,0.153,0.273,0.287,0.381
Dean Anna,0.092,0.279,0.315,0.334
Jesse Jenner,0.095,0.278,0.292,0.335
Todd Cunningham,0.095,0.286,0.313,0.344
Breyvic Valera,0.058,0.295,0.317,0.328
Eric Fryer,0.068,0.295,0.299,0.297
Brandon Moss,0.214,0.274,0.31,0.442
Jose Martinez,0.122,0.309,0.318,0.391
Nick Martini,0.096,0.281,0.308,0.331
Edmundo Sosa,0.095,0.294,0.278,0.334
Gabriel Lino,0.103,0.294,0.257,0.314
Brayan Pena,0.072,0.284,0.302,0.333
Alberto Rosario,0.076,0.271,0.27,0.303
Patrick Wisdom,0.132,0.283,0.263,0.339
Alex Mejia,0.08,0.281,0.278,0.319
Anthony Garcia,0.146,0.279,0.301,0.379
Jordan Schafer,0.098,0.292,0.287,0.315
Bruce Caldwell,0.12,0.3,0.277,0.326
Magneuris Sierra,0.08,0.306,0.27,0.322
Carlos Peguero,0.193,0.304,0.289,0.423
Jonathan Rodriguez,0.122,0.304,0.292,0.348
Dickie Joe Thon,0.095,0.29,0.251,0.295
Austin Wilson,0.098,0.299,0.273,0.29
Andrew McCutchen,0.198,0.318,0.37,0.474
Starling Marte,0.155,0.343,0.336,0.436
Jung Ho Kang,0.212,0.31,0.338,0.472
Gregory Polanco,0.161,0.302,0.322,0.42
Josh Harrison,0.124,0.323,0.32,0.41
Francisco Cervelli,0.086,0.331,0.362,0.355
Austin Meadows,0.166,0.314,0.316,0.433
David Freese,0.138,0.323,0.33,0.395
Kevin Newman,0.098,0.292,0.32,0.368
Josh Bell,0.156,0.296,0.347,0.426
Alen Hanson,0.151,0.287,0.288,0.395
Jordy Mercer,0.119,0.289,0.314,0.375
Jason Rogers,0.135,0.295,0.317,0.383
John Jaso,0.141,0.309,0.35,0.405
Elias Diaz,0.111,0.286,0.293,0.357
Danny Ortiz,0.142,0.289,0.272,0.381
Eury Perez,0.095,0.306,0.299,0.349
Adam Frazier,0.08,0.308,0.319,0.346
Barrett Barnes,0.139,0.307,0.297,0.373
Max Moroff,0.12,0.297,0.304,0.334
Jacob Stallings,0.12,0.283,0.257,0.333
Kevin Kramer,0.086,0.296,0.307,0.337
Jin-De Jhang,0.084,0.286,0.29,0.341
Gift Ngoepe,0.128,0.291,0.256,0.315
Chris Stewart,0.053,0.286,0.315,0.298
Chris Bostick,0.126,0.305,0.284,0.36
Ed Easley,0.093,0.279,0.303,0.333
Eric Wood,0.131,0.287,0.283,0.351
Erich Weiss,0.084,0.299,0.285,0.31
Jackson Williams,0.073,0.271,0.274,0.287
Jose Osuna,0.147,0.301,0.293,0.4
Joey Terdoslavich,0.132,0.292,0.313,0.375
Christian Kelley,0.043,0.282,0.274,0.259
Joey Votto,0.201,0.341,0.421,0.493
Eugenio Suarez,0.162,0.311,0.314,0.413
Billy Hamilton,0.092,0.307,0.304,0.343
Jesse Winker,0.141,0.318,0.358,0.415
Adam Duvall,0.236,0.281,0.297,0.48
Zack Cozart,0.147,0.275,0.298,0.396
Jose Peraza,0.111,0.307,0.312,0.39
Dilson Herrera,0.18,0.291,0.311,0.435
